año,inegi,entidad,municipio,modalidad,tipo,subtipo,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
2011,15026,mexico,chapa de mota,homicidios,dolosos,con arma de fuego,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,15026,mexico,chapa de mota,homicidios,dolosos,con arma blanca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,15026,mexico,chapa de mota,homicidios,dolosos,otros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,15026,mexico,chapa de mota,homicidios,dolosos,sin datos,,,,,,,,,,,,
2011,15027,mexico,chapultepec,delitos patrimoniales,extorsion,extorsion,,,,,,,,,,,,
2011,15027,mexico,chapultepec,homicidios,dolosos,con arma de fuego,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,15027,mexico,chapultepec,homicidios,dolosos,con arma blanca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,15027,mexico,chapultepec,homicidios,dolosos,otros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,15027,mexico,chapultepec,homicidios,dolosos,sin datos,,,,,,,,,,,,
2011,15028,mexico,chiautla,delitos patrimoniales,extorsion,extorsion,,,,,,,,,,,,
