entidad,inegi,año,municipio,tipo,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
mexico,15003,2013,aculco,homicidio,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
mexico,15003,2014,aculco,extorsion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mexico,15003,2014,aculco,homicidio,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
mexico,15004,2011,almoloya de alquisiras,extorsion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mexico,15004,2011,almoloya de alquisiras,homicidio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mexico,15004,2012,almoloya de alquisiras,extorsion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mexico,15004,2012,almoloya de alquisiras,homicidio,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mexico,15004,2013,almoloya de alquisiras,extorsion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
mexico,15004,2013,almoloya de alquisiras,homicidio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mexico,15004,2014,almoloya de alquisiras,extorsion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mexico,15004,2014,almoloya de alquisiras,homicidio,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mexico,15005,2011,almoloya de juarez,extorsion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mexico,15005,2011,almoloya de juarez,homicidio,0.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0
mexico,15005,2012,almoloya de juarez,extorsion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
mexico,15005,2012,almoloya de juarez,homicidio,0.0,1.0,2.0,0.0,2.0,1.0,3.0,1.0,1.0,0.0,2.0,0.0
mexico,15005,2013,almoloya de juarez,extorsion,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
mexico,15005,2013,almoloya de juarez,homicidio,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mexico,15005,2014,almoloya de juarez,extorsion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
mexico,15005,2014,almoloya de juarez,homicidio,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
mexico,15006,2011,almoloya del rio,extorsion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mexico,15006,2011,almoloya del rio,homicidio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mexico,15006,2012,almoloya del rio,extorsion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
