				
2011			
Jalisco			
Madero	362.00	2,087.40	16,543.20
Maravatío	6.00	38.40	422.02
Morelia	60.00	420.00	3,486.00
Nuevo Parangaricutiro	6,167.00	61,670.00	851,893.10
Ocampo	41.50	362.85	4,448.87
Parácuaro	18.00	107.82	1,190.20
Peribán	12,378.00	136,158.00	1,714,538.26
Purépero	54.00	432.00	5,367.60
Pátzcuaro	183.00	1,647.00	21,843.68
Queréndaro	3.00	27.00	243.00
Quiroga	59.00	531.00	7,028.19
Salvador Escalante	12,673.00	139,843.64	1,857,820.44
Susupuato	168.00	1,696.80	21,000.63
Tacámbaro	13,302.00	159,624.00	2,013,167.65
Tancítaro	20,760.00	206,628.25	2,870,775.53
Tangamandapio	900.00	9,000.00	110,100.00
Tangancícuaro	1,118.60	11,186.00	144,063.93
Taretan	862.00	8,861.36	115,556.12
Tarímbaro	20.00	90.00	720.00
Tingambato	2,892.00	29,135.39	368,896.65
Tingüindín	2,120.00	26,640.00	305,865.97
Tlazazalca	0.00	0.00	0.00
Tocumbo	415.00	4,096.00	48,154.52
Turicato	1,989.00	23,868.00	306,267.78
Tuxpan	312.00	2,501.20	23,701.22
Tzintzuntzan	14.00	112.00	1,508.67
Uruapan	13,543.00	135,430.00	1,701,456.69
Zinapécuaro	52.50	305.00	2,430.00
Ziracuaretiro	3,590.00	35,911.16	489,404.81
Zitácuaro	1,073.00	11,000.70	140,880.93
Morelos			
Cuernavaca	0.00	0.00	0.00
Huitzilac	0.40	3.48	28.71
Ocuituco	1,437.00	11,448.90	99,617.41
Puente de Ixtla	2.00	20.00	199.00
Tepoztlán	34.00	374.00	3,029.40
Tetecala	2.00	20.00	198.60
Tetela del Volcán	1,064.00	8,073.20	68,806.32
Tlalnepantla	224.00	2,486.40	20,608.70
Tlaltizapán de Zapata	2.00	22.00	218.68
Tlayacapan	66.00	654.50	5,355.50
Totolapan	80.00	720.00	5,853.60
Yautepec	19.00	199.00	1,856.35
Yecapixtla	459.00	3,464.50	28,502.82
Nayarit			
Ahuacatlán	4.50	40.50	256.95
Amatlán de Cañas	2.00	16.00	73.20
Bahía de Banderas	1.00	6.60	34.32
Compostela	7.00	55.16	263.89
Ixtlán del Río	12.00	79.50	502.65
Jala	20.50	123.00	775.50
Ruíz	6.00	34.02	119.07
San Blas	404.00	5,352.38	15,464.78
San Pedro Lagunillas	4.00	30.24	142.38
Santa María del Oro	14.00	188.00	1,321.52
Tepic	1,868.95	15,339.10	82,371.77
Xalisco	1,677.00	13,080.60	73,480.66
2014			
Jalisco			
Acatic	29.00	348.00	6,867.20
Acatlán de Juárez	1.50	15.00	59.25
Ahualulco de Mercado	10.00	70.00	896.00
Amacueca	134.50	1,062.55	15,366.52
Ameca	51.00	596.70	15,305.55
Arandas	160.00	2,809.60	53,683.20
Atengo	46.00	325.00	5,211.00
Atenguillo	21.00	189.00	4,703.00
Atotonilco El Alto	121.00	2,964.50	56,386.01
Atoyac	250.00	1,980.00	25,145.84
Autlán de Navarro	52.53	525.30	6,828.30
Ayotlán	98.00	1,274.00	32,461.00
Ayutla	25.00	139.00	3,050.50
Cabo Corrientes	11.00	30.00	257.33
Chimaltitán	0.00	0.00	0.00
Chiquilistlán	166.30	1,579.85	28,598.92
Concepción de Buenos Aires	897.34	6,591.92	80,394.13
Cuautitlán de García Barragán	77.00	423.50	5,187.88
Degollado	38.00	665.00	15,219.40
El Arenal	32.00	294.40	7,514.38
El Limón	1.50	7.50	90.00
Etzatlán	0.00	0.00	0.00
Gómez Farías	537.95	4,776.93	42,154.07
Ixtlahuacán del Río	35.00	420.00	3,090.00
Jesús María	70.00	1,134.00	22,552.60
Jocotepec	10.00	80.00	920.00
La Barca	37.00	140.00	2,433.00
La Manzanilla de la Paz	181.90	1,033.91	12,186.82
Magdalena	9.00	88.20	2,219.00
Mascota	26.00	278.20	7,092.76
Mazamitla	192.21	1,440.76	17,253.69
Mixtlán	8.00	67.20	1,611.32
Ocotlán	1.00	2.30	34.50
Pihuamo	45.00	135.00	1,890.00
Puerto Vallarta	15.00	40.80	407.17
Quitupan	322.25	2,410.13	29,303.51
San Cristóbal de La Barranca	4.00	52.00	540.80
San Gabriel	478.73	4,356.44	59,978.25
San Juanito de Escobedo	0.00	0.00	0.00
San Pedro Tlaquepaque	8.00	128.00	705.60
San Sebastián del Oeste	6.00	45.00	1,093.00
Santa María de Los Ángeles	10.00	61.00	915.00
Sayula	277.23	2,410.20	22,896.90
Tala	32.00	292.30	7,339.09
Talpa de Allende	30.00	294.00	7,206.00
Tamazula de Gordiano	727.00	7,715.30	71,048.57
Tapalpa	682.00	6,888.20	130,269.78
Tecalitlán	186.00	582.40	8,657.92
Techaluta de Montenegro	75.10	549.73	8,697.75
Tecolotlán	21.00	147.00	2,375.00
Tenamaxtlán	0.00	0.00	0.00
Teocuitatlán de Corona	46.80	348.66	5,624.66
Tepatitlán de Morelos	98.00	1,078.00	20,379.26
Tequila	23.00	211.60	5,380.67
Teuchitlán	5.50	47.25	976.90
Tizapán El Alto	20.00	160.00	1,838.00
Tlajomulco de Zúñiga	50.25	642.90	2,466.04
Tolimán	52.50	649.25	9,697.25
Tonila	334.00	3,109.80	40,647.25
Totatiche	0.00	0.00	0.00
