entidad,inegi,año,municipio,month,crimes,xmonth,pop,educ,crime_pc
mexico,15083,2014,temamatla,octubre,0.0,46,14130,9.82,0.0
mexico,15083,2015,temamatla,octubre,0.0,58,14130,9.82,0.0
mexico,15083,2016,temamatla,octubre,0.0,70,14130,9.82,0.0
mexico,15083,2017,temamatla,octubre,1.0,82,14130,9.82,7.077140835102619
mexico,15083,2018,temamatla,octubre,1.0,94,14130,9.82,7.077140835102619
mexico,15083,2019,temamatla,octubre,0.0,106,14130,9.82,0.0
mexico,15084,2011,temascalapa,octubre,0.0,10,43593,9.13,0.0
mexico,15084,2012,temascalapa,octubre,0.0,22,43593,9.13,0.0
mexico,15084,2013,temascalapa,octubre,1.0,34,43593,9.13,2.293946275778221
mexico,15084,2014,temascalapa,octubre,0.0,46,43593,9.13,0.0
mexico,15084,2015,temascalapa,octubre,2.0,58,43593,9.13,4.587892551556442
mexico,15084,2016,temascalapa,octubre,1.0,70,43593,9.13,2.293946275778221
mexico,15084,2017,temascalapa,octubre,3.0,82,43593,9.13,6.881838827334664
mexico,15084,2018,temascalapa,octubre,0.0,94,43593,9.13,0.0
mexico,15084,2019,temascalapa,octubre,1.0,106,43593,9.13,2.293946275778221
mexico,15085,2011,temascalcingo,octubre,0.0,10,66414,8.04,0.0
mexico,15085,2012,temascalcingo,octubre,0.0,22,66414,8.04,0.0
mexico,15085,2013,temascalcingo,octubre,0.0,34,66414,8.04,0.0
mexico,15085,2014,temascalcingo,octubre,0.0,46,66414,8.04,0.0
mexico,15085,2015,temascalcingo,octubre,0.0,58,66414,8.04,0.0
mexico,15085,2016,temascalcingo,octubre,0.0,70,66414,8.04,0.0
mexico,15085,2017,temascalcingo,octubre,0.0,82,66414,8.04,0.0
mexico,15085,2018,temascalcingo,octubre,1.0,94,66414,8.04,1.5057066281205769
mexico,15085,2019,temascalcingo,octubre,2.0,106,66414,8.04,3.0114132562411537
mexico,15086,2011,temascaltepec,octubre,0.0,10,35014,7.85,0.0
mexico,15086,2012,temascaltepec,octubre,0.0,22,35014,7.85,0.0
mexico,15086,2013,temascaltepec,octubre,0.0,34,35014,7.85,0.0
mexico,15086,2014,temascaltepec,octubre,0.0,46,35014,7.85,0.0
mexico,15086,2015,temascaltepec,octubre,1.0,58,35014,7.85,2.856000456960073
mexico,15086,2016,temascaltepec,octubre,0.0,70,35014,7.85,0.0
mexico,15086,2017,temascaltepec,octubre,0.0,82,35014,7.85,0.0
mexico,15086,2018,temascaltepec,octubre,0.0,94,35014,7.85,0.0
mexico,15086,2019,temascaltepec,octubre,1.0,106,35014,7.85,2.856000456960073
mexico,15087,2011,temoaya,octubre,0.0,10,105766,8.27,0.0
mexico,15087,2012,temoaya,octubre,0.0,22,105766,8.27,0.0
mexico,15087,2013,temoaya,octubre,3.0,34,105766,8.27,2.8364502770266435
mexico,15087,2014,temoaya,octubre,2.0,46,105766,8.27,1.8909668513510958
mexico,15087,2015,temoaya,octubre,0.0,58,105766,8.27,0.0
mexico,15087,2016,temoaya,octubre,0.0,70,105766,8.27,0.0
mexico,15087,2017,temoaya,octubre,0.0,82,105766,8.27,0.0
mexico,15087,2018,temoaya,octubre,1.0,94,105766,8.27,0.9454834256755479
mexico,15087,2019,temoaya,octubre,3.0,106,105766,8.27,2.8364502770266435
mexico,15088,2011,tenancingo,octubre,0.0,10,104677,9.25,0.0
mexico,15088,2012,tenancingo,octubre,1.0,22,104677,9.25,0.9553196977368477
mexico,15088,2013,tenancingo,octubre,4.0,34,104677,9.25,3.8212787909473906
mexico,15088,2014,tenancingo,octubre,0.0,46,104677,9.25,0.0
mexico,15088,2015,tenancingo,octubre,2.0,58,104677,9.25,1.9106393954736953
mexico,15088,2016,tenancingo,octubre,2.0,70,104677,9.25,1.9106393954736953
mexico,15088,2017,tenancingo,octubre,1.0,82,104677,9.25,0.9553196977368477
mexico,15088,2018,tenancingo,octubre,2.0,94,104677,9.25,1.9106393954736953
mexico,15088,2019,tenancingo,octubre,3.0,106,104677,9.25,2.865959093210543
mexico,15089,2011,tenango del aire,octubre,0.0,10,11359,9.79,0.0
mexico,15089,2012,tenango del aire,octubre,0.0,22,11359,9.79,0.0
mexico,15089,2013,tenango del aire,octubre,0.0,34,11359,9.79,0.0
mexico,15089,2014,tenango del aire,octubre,0.0,46,11359,9.79,0.0
mexico,15089,2015,tenango del aire,octubre,2.0,58,11359,9.79,17.607183730962234
mexico,15089,2016,tenango del aire,octubre,0.0,70,11359,9.79,0.0
mexico,15089,2017,tenango del aire,octubre,0.0,82,11359,9.79,0.0
mexico,15089,2018,tenango del aire,octubre,0.0,94,11359,9.79,0.0
mexico,15089,2019,tenango del aire,octubre,0.0,106,11359,9.79,0.0
mexico,15090,2011,tenango del valle,octubre,0.0,10,90518,9.07,0.0
mexico,15090,2012,tenango del valle,octubre,1.0,22,90518,9.07,1.104752645882587
mexico,15090,2013,tenango del valle,octubre,1.0,34,90518,9.07,1.104752645882587
mexico,15090,2014,tenango del valle,octubre,0.0,46,90518,9.07,0.0
mexico,15090,2015,tenango del valle,octubre,2.0,58,90518,9.07,2.209505291765174
mexico,15090,2016,tenango del valle,octubre,0.0,70,90518,9.07,0.0
mexico,15090,2017,tenango del valle,octubre,0.0,82,90518,9.07,0.0
mexico,15090,2018,tenango del valle,octubre,1.0,94,90518,9.07,1.104752645882587
mexico,15090,2019,tenango del valle,octubre,2.0,106,90518,9.07,2.209505291765174
mexico,15091,2011,teoloyucan,octubre,0.0,10,65459,9.67,0.0
mexico,15091,2012,teoloyucan,octubre,1.0,22,65459,9.67,1.5276738110878565
mexico,15091,2013,teoloyucan,octubre,0.0,34,65459,9.67,0.0
mexico,15091,2014,teoloyucan,octubre,3.0,46,65459,9.67,4.5830214332635695
mexico,15091,2015,teoloyucan,octubre,1.0,58,65459,9.67,1.5276738110878565
mexico,15091,2016,teoloyucan,octubre,0.0,70,65459,9.67,0.0
mexico,15091,2017,teoloyucan,octubre,0.0,82,65459,9.67,0.0
mexico,15091,2018,teoloyucan,octubre,6.0,94,65459,9.67,9.166042866527139
mexico,15091,2019,teoloyucan,octubre,5.0,106,65459,9.67,7.638369055439282
mexico,15092,2011,teotihuacan,octubre,0.0,10,58507,10.01,0.0
mexico,15092,2012,teotihuacan,octubre,0.0,22,58507,10.01,0.0
mexico,15092,2013,teotihuacan,octubre,0.0,34,58507,10.01,0.0
mexico,15092,2014,teotihuacan,octubre,0.0,46,58507,10.01,0.0
mexico,15092,2015,teotihuacan,octubre,3.0,58,58507,10.01,5.127591570239459
mexico,15092,2016,teotihuacan,octubre,3.0,70,58507,10.01,5.127591570239459
mexico,15092,2017,teotihuacan,octubre,1.0,82,58507,10.01,1.7091971900798197
mexico,15092,2018,teotihuacan,octubre,2.0,94,58507,10.01,3.4183943801596395
mexico,15092,2019,teotihuacan,octubre,2.0,106,58507,10.01,3.4183943801596395
mexico,15093,2011,tepetlaoxtoc,octubre,0.0,10,32564,9.68,0.0
mexico,15093,2012,tepetlaoxtoc,octubre,0.0,22,32564,9.68,0.0
mexico,15093,2013,tepetlaoxtoc,octubre,0.0,34,32564,9.68,0.0
mexico,15093,2014,tepetlaoxtoc,octubre,0.0,46,32564,9.68,0.0
mexico,15093,2015,tepetlaoxtoc,octubre,2.0,58,32564,9.68,6.141751627564181
mexico,15093,2016,tepetlaoxtoc,octubre,0.0,70,32564,9.68,0.0
mexico,15093,2017,tepetlaoxtoc,octubre,0.0,82,32564,9.68,0.0
mexico,15093,2018,tepetlaoxtoc,octubre,1.0,94,32564,9.68,3.0708758137820906
mexico,15093,2019,tepetlaoxtoc,octubre,1.0,106,32564,9.68,3.0708758137820906
mexico,15094,2011,tepetlixpa,octubre,0.0,10,20500,9.13,0.0
mexico,15094,2012,tepetlixpa,octubre,0.0,22,20500,9.13,0.0
mexico,15094,2013,tepetlixpa,octubre,0.0,34,20500,9.13,0.0
mexico,15094,2014,tepetlixpa,octubre,0.0,46,20500,9.13,0.0
mexico,15094,2015,tepetlixpa,octubre,1.0,58,20500,9.13,4.878048780487805
mexico,15094,2016,tepetlixpa,octubre,0.0,70,20500,9.13,0.0
mexico,15094,2017,tepetlixpa,octubre,0.0,82,20500,9.13,0.0
mexico,15094,2018,tepetlixpa,octubre,2.0,94,20500,9.13,9.75609756097561
mexico,15094,2019,tepetlixpa,octubre,0.0,106,20500,9.13,0.0
mexico,15095,2011,tepotzotlan,octubre,2.0,10,103696,9.85,1.9287147045209072
mexico,15095,2012,tepotzotlan,octubre,5.0,22,103696,9.85,4.821786761302268
mexico,15095,2013,tepotzotlan,octubre,4.0,34,103696,9.85,3.8574294090418144
mexico,15095,2014,tepotzotlan,octubre,4.0,46,103696,9.85,3.8574294090418144
mexico,15095,2015,tepotzotlan,octubre,1.0,58,103696,9.85,0.9643573522604536
mexico,15095,2016,tepotzotlan,octubre,2.0,70,103696,9.85,1.9287147045209072
mexico,15095,2017,tepotzotlan,octubre,0.0,82,103696,9.85,0.0
mexico,15095,2018,tepotzotlan,octubre,4.0,94,103696,9.85,3.8574294090418144
