año,clave_ent,entidad,cve. municipio,municipio,bien jurídico afectado,tipo de delito,subtipo de delito,modalidad,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
2015,14,jalisco,14024,cocula,la vida y la integridad corporal,homicidio,homicidio doloso,no especificado,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14024,cocula,el patrimonio,extorsión,extorsión,extorsión,0,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2015,14,jalisco,14025,colotlán,la vida y la integridad corporal,homicidio,homicidio doloso,con arma de fuego,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14025,colotlán,la vida y la integridad corporal,homicidio,homicidio doloso,con arma blanca,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14025,colotlán,la vida y la integridad corporal,homicidio,homicidio doloso,con otro elemento,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14025,colotlán,la vida y la integridad corporal,homicidio,homicidio doloso,no especificado,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14025,colotlán,el patrimonio,extorsión,extorsión,extorsión,0,0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
2015,14,jalisco,14026,concepción de buenos aires,la vida y la integridad corporal,homicidio,homicidio doloso,con arma de fuego,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14026,concepción de buenos aires,la vida y la integridad corporal,homicidio,homicidio doloso,con arma blanca,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015,14,jalisco,14026,concepción de buenos aires,la vida y la integridad corporal,homicidio,homicidio doloso,con otro elemento,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14026,concepción de buenos aires,la vida y la integridad corporal,homicidio,homicidio doloso,no especificado,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14026,concepción de buenos aires,el patrimonio,extorsión,extorsión,extorsión,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14027,cuautitlán de garcía barragán,la vida y la integridad corporal,homicidio,homicidio doloso,con arma de fuego,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14027,cuautitlán de garcía barragán,la vida y la integridad corporal,homicidio,homicidio doloso,con arma blanca,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14027,cuautitlán de garcía barragán,la vida y la integridad corporal,homicidio,homicidio doloso,con otro elemento,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14027,cuautitlán de garcía barragán,la vida y la integridad corporal,homicidio,homicidio doloso,no especificado,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14027,cuautitlán de garcía barragán,el patrimonio,extorsión,extorsión,extorsión,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14028,cuautla,la vida y la integridad corporal,homicidio,homicidio doloso,con arma de fuego,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14028,cuautla,la vida y la integridad corporal,homicidio,homicidio doloso,con arma blanca,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14028,cuautla,la vida y la integridad corporal,homicidio,homicidio doloso,con otro elemento,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14028,cuautla,la vida y la integridad corporal,homicidio,homicidio doloso,no especificado,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14028,cuautla,el patrimonio,extorsión,extorsión,extorsión,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14029,cuquío,la vida y la integridad corporal,homicidio,homicidio doloso,con arma de fuego,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14029,cuquío,la vida y la integridad corporal,homicidio,homicidio doloso,con arma blanca,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14029,cuquío,la vida y la integridad corporal,homicidio,homicidio doloso,con otro elemento,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,14,jalisco,14029,cuquío,la vida y la integridad corporal,homicidio,homicidio doloso,no especificado,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
